City,State,Region,City_Category,Latitude,Longitude,Is_Tourist,Is_Hill_Station
Udaipur,Rajasthan,North,Tier-2,24.5854,73.7125,1,0
Muzaffarpur,Bihar,East,Tier-2,26.1225,85.3906,0,0
Bilaspur,Chhattisgarh,Central,Tier-2,22.0797,82.1391,0,0
Thrissur,Kerala,South,Tier-2,10.5276,76.2144,0,0
Kollam,Kerala,South,Tier-2,8.8932,76.6141,0,0
Vellore,Tamil Nadu,South,Tier-2,12.9165,79.1325,0,0
Karnal,Haryana,North,Tier-2,29.6857,76.9905,0,0
Rohtak,Haryana,North,Tier-2,28.8955,76.6066,0,0
Shimla,Himachal Pradesh,North,Tier-3,31.1048,77.1734,1,1
Panaji,Goa,West,Tier-3,15.4909,73.8278,1,0
Imphal,Manipur,Northeast,Tier-3,24.8170,93.9368,0,0
Aizawl,Mizoram,Northeast,Tier-3,23.7271,92.7176,0,0
Shillong,Meghalaya,Northeast,Tier-3,25.5788,91.8933,1,1
Kohima,Nagaland,Northeast,Tier-3,25.6751,94.1086,0,0
Itanagar,Arunachal Pradesh,Northeast,Tier-3,27.0844,93.6053,0,0
Gangtok,Sikkim,Northeast,Tier-3,27.3389,88.6065,1,1
Agartala,Tripura,Northeast,Tier-3,23.8315,91.2868,0,0
Puducherry,Puducherry,South,Tier-3,11.9416,79.8083,1,0
Haridwar,Uttarakhand,Central,Tier-3,29.9457,78.1642,1,0
Rishikesh,Uttarakhand,Central,Tier-3,30.0869,78.2676,1,0
Sonipat,Haryana,North,Tier-3,28.9931,77.0151,0,0
Panipat,Haryana,North,Tier-3,29.3909,76.9635,0,0
Bathinda,Punjab,North,Tier-3,30.2110,74.9455,0,0
Patiala,Punjab,North,Tier-3,30.3398,76.3869,0,0
Alwar,Rajasthan,North,Tier-3,27.5530,76.6346,0,0
Bharatpur,Rajasthan,North,Tier-3,27.2152,77.4909,0,0
Sikar,Rajasthan,North,Tier-3,27.6094,75.1399,0,0
Rewa,Madhya Pradesh,Central,Tier-3,24.5364,81.2961,0,0
Satna,Madhya Pradesh,Central,Tier-3,24.6005,80.8322,0,0
Ratlam,Madhya Pradesh,Central,Tier-3,23.3315,75.0367,0,0
Junagadh,Gujarat,West,Tier-3,21.5222,70.4579,0,0
Puri,Odisha,East,Tier-3,19.8135,85.8312,1,0
Bhagalpur,Bihar,East,Tier-3,25.2425,86.9842,0,0
Darjeeling,West Bengal,East,Tier-3,27.0410,88.2663,1,1
Thanjavur,Tamil Nadu,South,Tier-3,10.7870,79.1378,1,0
Alappuzha,Kerala,South,Tier-3,9.4981,76.3388,1,0
Kannur,Kerala,South,Tier-3,11.8745,75.3704,1,0
Diu,Daman and Diu,West,Tier-3,20.7144,70.9874,1,0
Silvassa,Dadra and Nagar Haveli,West,Tier-3,20.2766,73.0169,0,0
Port Blair,Andaman and Nicobar Islands,East,Tier-3,11.6234,92.7265,1,0
Kavaratti,Lakshadweep,South,Tier-3,10.5593,72.6358,1,0
Pushkar,Rajasthan,North,Tier-3,26.4897,74.5511,1,0
Mount Abu,Rajasthan,North,Tier-3,24.5926,72.7156,1,1
